,0,1,2,3,4,5,6,7,8,9,10,11,12,13
26,jl_cb55bff1bd0c73d5,permanent,data+scientist,"<span class=""date"">21 hours ago</span>",Scientist - Hinkley,Wessex Water Services Limited,,United Kingdom,8 reviews,,None,None,degree,"This will include leading on, monitoring and analysing data trends of trade effluent levels to ensure treatment quality...."
27,jl_0fd84d77c4845eb4,permanent,data+scientist,"<span class=""date"">27 days ago</span>",Analyst / Data Scientist,"Zipcar, Inc.",,Bracknell RG12,,,"sql,python,r,oracle","statistical,analysis,programming",msc,"As the Analyst / Data Scientist, you will help us improve the way we use our many sources of data from creating visualisations to building statistical models..."
28,jl_a1cee8bad2e3528a,permanent,data+scientist,"<span class=""date"">12 days ago</span>",Senior Data Scientist,Office of Gas and Electricity Markets,"£41,200 a year",London,,,"tableau,sql,python","intelligence,modelling,statistical,analysis,machine","phd,statistics","Advanced data analysis, synthesis and data modelling skills. The Data Services Team. Trusted data models are constructed applying recognised statistical..."
29,jl_c0c69872d0adeca8,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Data Scientist,Be-IT Resourcing,,Central Belt,,,"python,r",machine,statistics,"Would you like to be the first Data Scientist to work with a fast growing science start-up in Glasgow? You just need to use your experience in data analytics,..."
30,jl_e646ba9167b4c128,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Merchant Data Scientist,Visa,,London,657 reviews,4 out of 5,"spss,tableau,hadoop,r,python,sas","statistical,mining,analysis,intelligence",None,"Merchant Data Scientist - London. Excellent understanding of data marts, data relationship concepts and data processing...."
31,jl_e8529b965a051279,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Data Scientist,Monarch IT,"£30,000 - £45,000 a year",Nottingham,,,None,"machine,modelling",None,"Data Scientist - Nottingham. Data Science, Data, Machine Learning, Analytics. Are you a data dynamo? Proven commercial background in Data Science...."
32,jl_6176a65f8cea6925,permanent,data+scientist,"<span class=""date"">10 days ago</span>",Process optimisation scientist,Wessex Water Services Limited,"£38,000 a year",Wessex,8 reviews,,None,analysis,degree,"You will need the skills to analyse process data, develop optimisation targets and assist with the development and implementation of systems to sustain..."
33,jl_d2bd9037f6fbd555,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Junior Data Scientist,Harrison Holgate,"£33,000 a year",London,,,python,"modelling,statistical,analysis,machine,mathematical",None,Job Opportunity - **Junior Data Scientist**. A Cyber InsureTech business based in the heart of the city is currently recruiting for a Junior Data Scientist to...
34,jl_2ca5114a83dd1f48,permanent,data+scientist,"<span class=""date"">18 hours ago</span>",Data Scientist - Machine Learning,Client Server,"£55,000 - £65,000 a year",London,2 reviews,5 out of 5,"python,r","machine,programming",None,Data Scientist (Machine Learning Deep Learning TensorFlow Computer Vision Python). Apply today or call to have a confidential discussion about this Data...
35,jl_a962af80000862ba,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist – (9 Month Day Rate Contract),MBN Recruitment Solutions,£500 - £550 a week,London,,,python,"ai,ml",None,They are looking for 2 Data Scientist to help augment the existing team on a 9-month contract with opportunity for extension....
36,jl_f9f871bdeecd0e1c,permanent,data+scientist,"<span class=""date"">5 hours ago</span>",Data Scientist - Python and/or R,Michael Page UK,"£40,000 - £50,000 a year",Brighton,32 reviews,3.3 out of 5,"r,c,java,python,c++","mining,programming,statistical,research,machine","phd,statistics",We have partnered together to secure two dynamic Data Scientists to join the team. We are looking for creative Data Scientists who can apply innovative Machine...
37,jl_63e4e304dfb8e5ed,permanent,data+scientist,"<span class=""date"">21 days ago</span>",Data Scientist,Aqovia Uk Ltd,"£75,000 - £90,000 a year",London,,,"hadoop,sql,python,r","statistical,machine,mathematical,programming","phd,degree","Data Scientist, BI Solutions Architect. Data sorting and data wrangling skills:. We are looking for a versatile BI Solutions Architect, Data Scientist to help..."
38,jl_8ec4de29e9a08272,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Data Scientist,Novate IT Ltd,"£40,000 - £50,000 a year",Birmingham,,,"java,python,c++,r",machine,None,"Data Scientist - Python - Birmingham. The Data Scientist joining the team will be working on commodity prediction, retail analytics and working with data..."
39,jl_4bd4c0abf7ec7da1,permanent,data+scientist,"<span class=""date"">27 days ago</span>",Data Scientist,Cathcart Associates,"£30,000 - £45,000 a year",Sheffield,,,"java,python,c++,r","research,machine,programming",None,Data Scientist - Greenfield Site - R&D Projects. Data Scientist required by an innovative start-up in Sheffield to help build the machine learning capabilities...
40,jl_5e1ae68f3ad754c5,permanent,data+scientist,"<span class=""date"">2 hours ago</span>",Data Scientist,Verticality Ltd,"£45,000 - £55,000 a year",Reading,,,python,"mining,machine",None,"Data Scientist sought by established, rapidly scaling technology software house in the Reading area. Our data Scientist lead is looking for a fellow data..."
41,jl_6d0254ab0535e5ff,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Scientist I,Mondelez International,,Reading,"2,389 reviews",4 out of 5,None,"research,analysis",degree,The role at Scientist II is to undertake a practical role with possible supervisory responsibilities within the Microscopy laboratory....
42,jl_71868ca0b082c193,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Data Scientist,Harnham,"£50,000 - £60,000 a year",London,6 reviews,4.8 out of 5,None,machine,None,"Minimum of 1-2 years commercial experience as a data scientist. Your responsibilities as a Data Scientist will include, but not be limited to:...."
43,jl_535de126ef421d71,permanent,data+scientist,"<span class=""date"">10 hours ago</span>",Data Scientist,Data Team,"£55,000 - £65,000 a year",London,,,"python,r","machine,programming",degree,Data Scientist London to £65k. Data Scientist (Machine Learning Deep Learning TensorFlow Computer Vision Python)....
44,jl_cbc8d0f9c1e7ffd8,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Coller Capital,,London,,,"sql,python","statistical,research,analysis,machine","phd,mathematics,statistics,degree","As a Data Scientist at Coller Capital, you will:. The core data scientists are focusing on building new quantitative models for the investment team, conducting..."
45,jl_3ac80611b82bc00a,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Senior Data Scientist,A.S. Watson Group,,London,41 reviews,,"sql,python,r",analysis,None,"Are you passionate about bringing data to life, always interested in how to interpret numerical data? Superdrug, The Perfume Shop, Marionnaud and others across..."
46,jl_f5b971525c6fb03f,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Data Scientist | Coventry,Opus Recruitment Solutions,"£35,000 - £45,000 a year",Coventry,,,"sql,python,r","analysis,machine",None,Data Science | Data Scientist | Data Analysis | Python | R | SQL | Visualisation. Data Science | Data Scientist | Machine Learning | Data Analysis | Data...
47,jl_37579c9b37e84895,permanent,data+scientist,"<span class=""date"">4 days ago</span>",Chief Data Scientist - Start-up,Harnham,"£75,000 - £85,000 a year",London,6 reviews,4.8 out of 5,None,research,None,SALARY DETAILS - CHIEF DATA SCIENTIST. This is the opportunity to join as their Chief Data Scientist (stock options possible)....
48,jl_dbbe9bcd407c9283,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Associate Scientist I,Evotec,,Alderley Park,7 reviews,3.9 out of 5,None,"research,analysis","bsc,degree",Assist in data analysis and interpretation by applying knowledge of biochemistry and cell biology in ADMET processing....
49,jl_73b942b91c550252,permanent,data+scientist,"<span class=""date"">1 hour ago</span>",Data Scientist (General Insurance),Eames Consulting,,London,,,"python,r","mathematical,modelling",degree,"An exciting and diverse opportunity has arisen with a successful and growing consulting firm based in Central London, focusing on the delivery of effective data..."
50,jl_c9b32ecd8d3154e1,permanent,data+scientist,"<span class=""date"">23 hours ago</span>",Data Scientist,Salt Recruitment,"£30,000 - £45,000 a year",Greater London,2 reviews,,python,"mathematical,intelligence,machine","mathematics,statistics","Data Scientist highlights:. Data Scientist, Machine Learning, Python, SQL. A global leader in the fmcg market seek a Data Scientist to join its performance..."
51,jl_37579c9b37e84895,permanent,data+scientist,"<span class=""date"">4 days ago</span>",Chief Data Scientist - Start-up,Harnham,"£75,000 - £85,000 a year",London,6 reviews,4.8 out of 5,None,research,None,SALARY DETAILS - CHIEF DATA SCIENTIST. This is the opportunity to join as their Chief Data Scientist (stock options possible)....
52,jl_8b6b49767198b82a,permanent,data+scientist,"<span class=""date"">16 days ago</span>",Data Scientist - fintech,Harnham,"£60,000 - £70,000 a year",London,6 reviews,4.8 out of 5,python,machine,None,"Data Scientist - fintech. The successful Data Scientist candidate will have proven commercial experience applying advanced machine learning techniques to large,..."
53,jl_d8bd67a1232f50aa,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Scientist (Multiple Vacancies),CG Consultants,,Hemel Hempstead,,,None,research,"phd,degree","Critically appraise experimental data and theory and provide guidance based on interpretation of data. As a Scientist, you must have:...."
54,jl_73b942b91c550252,permanent,data+scientist,"<span class=""date"">1 hour ago</span>",Data Scientist (General Insurance),Eames Consulting,,London,,,"python,r","mathematical,modelling",degree,"An exciting and diverse opportunity has arisen with a successful and growing consulting firm based in Central London, focusing on the delivery of effective data..."
55,jl_197e27ae71f96970,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Graduate Data Scientist,Opus Recruitment Solutions,"£30,000 - £40,000 a year",Cambridge,,,"sql,python","ai,machine,artificial,ml",None,My client is at a dynamic Data orientated ML/AI company are looking for a Graduate Data Scientist to join their team to help with their journey and passion in...
56,jl_ce84734dcdc31928,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Data Scientist,Networking People (UK) Limited,"£50,000 - £75,000 a year",North West London,,,python,"ai,machine,ml",None,"Data Scientist - Python, NLP - MedTech - London £90k. I'm looking to speak with Data Scientists who would be interested in joining an AI Start-up focused on..."
57,jl_d23b1f2262a89374,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Lead Data Scientist,Hiscox Ltd,,York,39 reviews,3.9 out of 5,"r,c,sql,python,c++","machine,analysis,programming","phd,master,degree",Optimising operational activities using data. Intermediate to advanced SQL programming (T-SQL) allowing the efficient joining of numerous data sources across...
58,jl_a31e6457b53f9739,permanent,data+scientist,"<span class=""date"">13 days ago</span>",Data Scientist,Woolf Group,"£75,000 - £85,000 a year",London,,,"python,r,sas","statistical,research",None,Leading retail bank based in London are looking to recruit an experienced Data Scientist to join their team....
59,jl_bac3dcff2305a0b7,permanent,data+scientist,"<span class=""date"">13 days ago</span>",Graduate Data Scientist/ Analyst,VANRATH,,Belfast,,,"python,matlab","research,analysis,mathematical",degree,"Physics Graduate, data analyst, Data scientist, graduate, statistician. Experience with data science tools (Matlab, Python)...."
60,jl_9fb0921bd9cd8953,permanent,data+scientist,"<span class=""date"">3 days ago</span>",Data Scientist - Customer Analytics,Harnham,"£70,000 - £80,000 a year",London,6 reviews,4.8 out of 5,"python,r,scala","machine,programming",degree,Senior Data Scientist. THE ROLE - SENIOR DATA SCIENTIST. YOUR SKILLS AND EXPERIENCE - SENIOR DATA SCIENTIST. Mentoring 2 junior data scientists in the team....
61,jl_6ddaabfe9fb52c7e,permanent,data+scientist,"<span class=""date"">9 days ago</span>","Data Scientist - Manchester - £30,000 - £40,000 (DOE)",Lawrence Harvey,"£30,000 - £40,000 a year",Manchester,,,python,None,None,"Data Scientist required for one of the UK's Cutting-Edge companies, based in Manchester working with the brand-new data science team...."
62,jl_2220034bcc414b1b,permanent,data+scientist,"<span class=""date"">20 days ago</span>",Data Scientist,Talent International,"£60,000 - £120,000 a year",London,6 reviews,4.7 out of 5,"hadoop,nosql,r,c,java,sql,python,c++,shell,scala","mining,modelling,statistical,machine,ai,mathematical",None,Are you looking for your next exciting permanent role as Data Scientist in London? Talent International are acting as an employment agency in regards the role...
63,jl_864c3e2c66f5ef68,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Junior Data Scientist,JobHoller,,London,,,"sql,python","machine,programming",None,Experience working commercially as a Data Scientist. You will work closely with the other Data Scientists to complete projects and case studies....
64,jl_d09acb0de32e38dd,permanent,data+scientist,"<span class=""date"">23 hours ago</span>",Data Scientist,Culture Recruitment Limited,"£30,000 - £40,000 a year",United Kingdom,,,"sql,python,excel",None,None,"Data Scientist needed £30,000 - £40,000 Birmingham. A brilliant established client of mine is looking for a Senior professional to help grow the data function..."
65,jl_46abce6335881cb8,permanent,data+scientist,"<span class=""date"">21 days ago</span>",Data Scientist,Cordius,"£30,000 a year",Nottingham,,,"tableau,nosql,r,sql,python","programming,modelling,statistical,research,machine,mathematical","phd,mathematics,statistics,msc","Data visualization and communication. Our client, an award-winning company of liked-minded individuals working with the largest FMCG retailers in the world, is..."
66,jl_466164f9d2b270a0,permanent,data+scientist,"<span class=""date"">16 hours ago</span>","Principal Data Scientist - Gaming - South London - £85,000",Harnham,"£70,000 - £90,000 a year",London,6 reviews,4.8 out of 5,python,ml,None,Principal Data Scientist - Gaming Sector. Help develop and manage Junior Data Scientists. The essential requirements of a Data Scientist in this role are:....
67,jl_cc204d14df8b68c6,permanent,data+scientist,"<span class=""date"">20 days ago</span>",Acoustic Stealth Scientist,QinetiQ,,Farnborough,160 reviews,3.8 out of 5,"excel,matlab","analysis,modelling","phd,degree",Delivery of high quality data analysis and interpretation to project leads/customers. It is desirable to have a background in acoustics and analytical...
68,jl_4117b2b045d267f0,permanent,data+scientist,"<span class=""date"">16 days ago</span>",Data Scientist - Computer Vision,Harnham,"£95,000 - £100,000 a year",London,6 reviews,4.8 out of 5,None,"research,machine,intelligence,artificial",msc,"There are exciting growth plans here, along with the opportunity to take ownership over the end-to-end production life cycle for Data Science...."
69,jl_5f250b3ebf791e46,permanent,data+scientist,"<span class=""date"">22 days ago</span>",Data Scientist,Reqiva,"£30,000 - £70,000 a year",Oxford,,,"python,r,matlab",machine,None,"They are looking to hire talented data scientists in their analytics team, which remains the backbone of the company and their core product...."
70,jl_6981304162025a89,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist - Consumer Insights,WorldPay,,London,192 reviews,3.3 out of 5,"sql,r","statistical,analysis,machine,modelling",degree,You’ll work with large volumes of payments data to develop industry leading models that harness statistical and machine learning techniques and explore targeted...
71,jl_ef925827e57c1704,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Water quality scientist,Thames Water Utilites,"£27,500 a year",Reading,16 reviews,3.4 out of 5,None,None,None,Interpretation of laboratory data / monitoring water quality data. Participate in water quality emergency events as the event scientist....
72,jl_21e66a41ccdf8b50,permanent,data+scientist,"<span class=""date"">16 days ago</span>",Data Scientist,Parallel Consulting,"£50,000 - £75,000 a year",London,,,"hadoop,r,java,sql,python,scala","modelling,statistical,analysis,machine,mathematical",None,"Data Science & Big Data. As Data Scientist, your skills and qualifications will include:. DATA SCIENTIST- GLOBAL BANK- CENTRAL LONDON- UP TO £75,000 + BENEFITS...."
73,jl_e6cf152e2949689e,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Principal Data Scientist,Kindred Group,,London,4 reviews,,"r,java,python,c++,scala",machine,phd,Currently in a data scientist role in an online business to consumer context. Head of Data Science. The data science group is part of a larger analytics and...
74,jl_6bcdd5edf25901db,permanent,data+scientist,"<span class=""date"">13 days ago</span>",Data Scientist,Mcgregor Boyall,"£70,000 - £100,000 a year",London,5 reviews,,"hadoop,python,r,scala","statistical,analysis,machine","phd,statistics","Data ScientistMachine Learning, Statistics, Algorithms, Hadoop, Scala, PythonAn excellent opportunity has arisen for a Data Scientist to work for a leading..."
75,jl_afdf64f1ce5681f6,permanent,data+scientist,"<span class=""date"">17 days ago</span>",Clinical Laboratory Scientist – Graduate Opportunity,Webrecruit,,Greater London,,,None,None,"bsc,degree","Clinical Laboratory Scientist, Graduate Opportunity, Clinical Lab Scientist, Graduate Scientist, Graduate Laboratory Scientist, Junior Scientist, Life Scientist..."
76,jl_1c75e40210747cfe,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",(Senior) Data Acquisition Scientist DIAD,Diamond Light Source,"£33,297 - £39,172 a year",Didcot,5 reviews,4 out of 5,"java,python",None,"mathematics,degree",Our Data Acquisition Software team are looking to recruit a Data Acquisition Scientist or Senior Data Acquisition Scientist to join the team supporting and...
77,jl_3834b8b339d951c3,permanent,data+scientist,"<span class=""date"">3 days ago</span>","Data Scientist (Deep Neural Networks, Probability, Statistic...",Understanding Recruitment,"£65,000 - £75,000 a year",United Kingdom,,,None,"mining,research,machine,mathematical,ml","phd,mathematics,statistics","Data Scientist (Deep Neural Networks, Probability, Statistics); Data Scientist (Deep Neural Networks, Probability, Statistics):We are currently looking for a..."
78,jl_fd268a8b4997a423,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Data Scientist,Alpha It Resourcing Limited,"£50,000 - £60,000 a year",London,,,python,"mining,machine",None,Data Scientist / Software Engineer. Experience in dealing with vast amount of textual data (optimization and performance enhancement)....
79,jl_f0731fbcc2831ee0,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Marketing Data Scientist,Visa,,London,657 reviews,4 out of 5,"spss,tableau,nosql,hadoop,sas,r,java,sql,python,excel,matlab","mining,intelligence,programming,statistical,analysis,research",degree,Marketing Data Scientist - London. Strong data visualisation skills. This role requires a passion for data and someone who sees themselves as a data 'engineer'....
80,jl_422e16787391ee7c,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Senior Data Scientist,Cathcart Associates,"£55,000 - £100,000 a year",London,,,python,programming,None,"In practice, that means somewhere in the region of £50k for a more junior, but switched on Data Scientist all the way up to £95-100k for a seasoned Data..."
81,jl_6dd08f847cb60b57,permanent,data+scientist,"<span class=""date"">15 days ago</span>",R&D Data Scientist - computer vision,Harnham,"£55,000 - £65,000 a year",London,6 reviews,4.8 out of 5,"python,r","machine,modelling",None,R&D Data Scientist - computer vision. This ecommerce company is investing heavily into finding a talented R&D Data Scientist to join their highly successful R&D...
82,jl_135b099bf5af529e,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Applied Physiologist,Ministry of Defence,"£25,383 a year",Gosport,405 reviews,4.1 out of 5,None,"research,analysis","phd,degree","Research experience including research design, data collection, data analysis and report writing. The Applied Physiologist (AP5) permanent vacancy is a training..."
83,jl_18059bdab064c5ba,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Graduate Engineer - Data Scientist & Software Developer (Sep...,Roke,,Romsey SO51,,,"hadoop,clojure,c,java,python,c++","intelligence,programming,statistical,analysis,research,machine","mathematics,degree","Techniques and toolkits for acquiring, combining data or analysing data streams in real time. Our data analytics work encompasses many all types of data and..."
84,jl_419917ba5f665516,permanent,data+scientist,"<span class=""date"">10 days ago</span>",Statistician,Animal and Plant Health Agency,"£31,080 - £34,940 a year",New Haw,13 reviews,,None,"programming,modelling,statistical,analysis,research,mathematical","phd,mathematics,msc,statistics,degree"," Liaise with data managers, scientists, veterinarians, policy-makers and representatives from industry to identify and gather data for parameterising models...."
85,jl_117c498c06cb3601,permanent,data+scientist,"<span class=""date"">15 days ago</span>",Data Scientist,DWP Digital,,Sheffield S3,,,"sql,nosql,python,r",programming,statistics,"We have multiple roles available, as a Data Scientist, Data Scientist Service Design, and Data Scientist Fraud and Error Risk Analytics...."
86,jl_c7bfff5f9c476f67,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Data Scientist,Set2Recruit Ltd.,"£78,000 a year",South West London,,,"java,nosql,python,scala","analysis,intelligence,machine",master,"You will work to enable organisations to improve their data handling and find new ways to exploit it, whether through master data, transaction data or scalable..."
87,jl_874852ae129268ac,permanent,data+scientist,"<span class=""date"">19 days ago</span>",Data Scientist,Capita IT Resourcing,"£65,000 - £85,000 a year",London,4 reviews,,"sql,python,r","analysis,modelling","statistics,msc",Data scientist required for a BlueChip consultancy in London. To be considered for the data scientist position you will need the following:....
88,jl_e6b35ad98bf28faf,permanent,data+scientist,"<span class=""date"">8 days ago</span>",Data Scientist,Reco Ltd,"£70,000 - £100,000 a year",London,,,"python,r,matlab","statistical,mathematical,machine,modelling","phd,mathematics,bsc",Data Scientist Requirements:. Data Scientists will be required to evaluate and enhance mathematical models across a range of data sets whilst also delivering...
89,jl_6358b24306710889,permanent,data+scientist,"<span class=""date"">1 day ago</span>",Graduate Data Scientist,CGG Services (UK) ltd,,Crawley,,,"hadoop,python,c++,c","machine,analysis,programming","phd,mathematics,master,degree","As a data scientist, you’ll play a vital role in the continual improvement of our processing and imaging...."
90,jl_e570bca80efc262c,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Senior Data Scientist,Morson International,"£60,000 - £75,000 a year",North West,62 reviews,3.8 out of 5,python,"ai,machine",phd,"Senior Data Scientist. You'll be back with huge investment and a visionary leader who operates agilely and listens to his people, The successful Senior Data..."
91,jl_f6f1e6ea15531d18,permanent,data+scientist,"<span class=""date"">4 days ago</span>",Data Scientist - Production Environment,Harnham,"£70,000 - £80,000 a year",London,6 reviews,4.8 out of 5,"python,hive,r","machine,programming",msc,Senior Data Scientist. THE ROLE - SENIOR DATA SCIENTIST. YOUR SKILLS AND EXPERIENCE - SENIOR DATA SCIENTIST. As the Senior Data Scientist you will not only be...
92,jl_b62f9462743054fe,permanent,data+scientist,"<span class=""date"">5 days ago</span>",Senior Scientist I,Mondelez International,,Birmingham,"2,389 reviews",4 out of 5,r,"statistical,research,analysis",degree,Linking consumer and sensory data into a cohesive story. Ability to discern data confused or hidden by extraneous information....
93,jl_30b2a830f499bc7d,permanent,data+scientist,"<span class=""date"">13 days ago</span>",Principal Fisheries Scientist,"Centre for Environment, Fisheries and Aquaculture...","£44,715 - £54,013 a year",Lowestoft,,,"r,matlab","statistical,research,analysis,programming","phd,degree", Good understanding of survey and data collection design.  Track record delivering as principal scientist and strategic leadership....
94,jl_fff7b85f48502a51,permanent,data+scientist,"<span class=""date"">12 days ago</span>",Lead Data Scientist/ CTO,Harnham,"£70,000 - £90,000 a year",London,6 reviews,4.8 out of 5,python,machine,"msc,degree",Lead Data Scientist/ CTO. Minimum of 3 years commercial experience as a data scientist. A successful Chief Technical Officer/ Lead Data Scientist will have the...
95,jl_4d8a239421ac2963,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Data Visualisation and Design Associate,Office for National Statistics,"£35,200 a year",Newport NP10,43 reviews,4.2 out of 5,r,"intelligence,statistical,analysis,artificial,research,machine","statistics,degree",Working alongside data scientists you will design and implement powerful visualisations and intuitive interfaces to add impact to complex data analysis projects...
96,jl_41a088d9beacf636,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Senior Data Scientist,BJSS,,Bristol,,,"hadoop,sql,python,r","ai,machine",None,"On a typical day as a BJSS Data Scientist you can expect to:. Combine BJSS’ proven expertise in DevOps, Cloud, and Big Data to build the best possible Data..."
97,jl_aa82ca0de298dbe6,permanent,data+scientist,"<span class=""date"">22 days ago</span>",Explosive Research Scientist,Defence Science and Technology Laboratory,"£31,500 - £35,500 a year",Salisbury SP4,17 reviews,2.8 out of 5,None,research,degree," Provide timely, impartial, evidence based advice to the team, customers and wider stakeholders through sourcing, collating and interpreting data to ensure..."
98,jl_df747145bb492fdf,permanent,data+scientist,"<span class=""date"">4 days ago</span>",Senior Data Scientist,Harnham,"£60,000 - £80,000 a year",East London,6 reviews,4.8 out of 5,"r,sas","statistical,modelling",degree,SENIOR DATA SCIENTIST. SENIOR DATA SCIENTIST - YOUR ROLE:. You must have experience working with customer level data....
99,jl_19b083e1466d4ca0,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Machine Learning Data Scientist,Harnham,"£55,000 - £60,000 a year",Leeds,6 reviews,4.8 out of 5,"sql,python,r","machine,analysis,programming","statistics,msc","Machine Learning Data Scientist. As a Machine Learning Data Scientist here you can earn up to £60,000 + benefits...."
100,jl_6fda4cac986f8428,permanent,data+scientist,"<span class=""date"">27 days ago</span>",Senior Data Scientist - Applied,Shop Direct,,London,225 reviews,3.9 out of 5,None,"programming,modelling,statistical,analysis,machine","phd,statistics",Our data scientists sit closely with our software engineering team (metres away!). This is a fantastic opportunity for an experienced Data Scientist who is...
101,jl_5d53a7a0c79e54ec,permanent,data+scientist,"<span class=""date"">15 days ago</span>","Data Scientist (Tableau, SAS, SQL)",VANRATH,"£55,000 - £60,000 a year",Belfast,,,"tableau,r,sql,python,excel,sas","mining,modelling,statistical,analysis,research,ai",None,"Senior Data Scientist, SAS Developer, Data scientist, python, R, SAS, SQL, Tableau. The appointed Data Scientist (Tableau, SAS, SQL) will design and execute a..."
102,jl_eec3ed79b9941190,permanent,data+scientist,"<span class=""date"">6 days ago</span>",Medical Laboratory Assistant (MLA) - Cellular Pathology,The Shrewsbury and Telford Hospital NHS Trust,"£17,460 - £18,702 a year",Shropshire,,,None,None,None,"This post also includes data entry, filing of microscope slides, maintenance of laboratory equipment and assisting the Consultant Histopathologists and..."
103,jl_4a06da3ac0cfbc69,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist - disruptive fintech,Harnham,"£60,000 - £75,000 a year",London,6 reviews,4.8 out of 5,"sql,python","statistical,research,machine,modelling",None,"Data Scientist - disruptive fintech. As a Data Scientist, you will be responsible using alternative data, including transactional and GPS data to build tailored..."
104,jl_afe3bde78038a0ac,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data Scientist,Blu Digital,"£42,000 a year",London,,,"r,sql,python,excel,sas",None,None,My client is looking for their new Data Scientist. You will work with a number of teams and work incredibly closely with the data insights team....
105,jl_cd158527f17ad3ce,permanent,data+scientist,"<span class=""date"">14 days ago</span>",Laboratory Analyst,"Centre for Environment, Fisheries and Aquaculture...","£21,920 a year",Lowestoft NR33,,,excel,"research,analysis",None,"The work area comprises a diverse group of scientists who provide high quality analytical support, data interpretation and scientific advice to a comprehensive..."
106,jl_1c8dfe4c969b554d,permanent,data+scientist,"<span class=""date"">20 days ago</span>",Data Engineer/Scientist,Cathcart Associates,"£30,000 - £45,000 a year",Leeds,,,"sql,nosql,python,r","ai,machine,programming",statistics,"Experience or a keen interest in Data Science techniques, including Machine Learning Models, AI, Neural Networks, Statistics...."
107,jl_313c1ece4302a3ad,permanent,data+scientist,"<span class=""date"">9 days ago</span>",Innovation Data Scientist,Harnham,"£50,000 - £60,000 a year",London,6 reviews,4.8 out of 5,"sql,python","statistical,research,machine,modelling",None,"Innovation Data Scientist. As a Data Scientist in this team, you will be focusing on applying machine learning to large data sets, setting up models to analyse..."
108,jl_0f536160db730d85,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Statistical Officer across the GSS,Government Statistical Service,"£24,514 a year",Cardiff,,,None,"statistical,analysis",statistics," Membership of a professional community of Methodologists, Data Scientists and Statisticians. Statisticians  Data analysis...."
109,jl_2f91ba6547ece8f0,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Senior Data Scientist,Mint Selection,,London,,,"hadoop,hive,mongodb,r,c,sql,python,c++","mining,programming,modelling,statistical,analysis,machine,mathematical","phd,statistics",Senior Data Scientist responsibilities. Senior Data Scientist skills and competencies; Senior Data Scientist – Future of Energy Trading....
110,jl_6baa0e1912db0719,permanent,data+scientist,"<span class=""date"">16 days ago</span>",Data Scientist - challenger bank,Harnham,"£65,000 - £75,000 a year",London,6 reviews,4.8 out of 5,"sql,python,r","statistical,research,machine,modelling",None,"Data Scientist - challenger bank. As a Data Scientist, you will be responsible using alternative customer data to build tailored machine learning solutions...."
111,jl_359f7ae5ef6bc0bc,permanent,data+scientist,"<span class=""date"">30+ days ago</span>",Data & Analytics opportunities,Atwood Tate,,United Kingdom,,,c,intelligence,None,"Chief Data Officer. We are looking for good candidates with Data, & Analytics experience. We get permanent, contract, freelance and temporary roles within print..."
112,jl_1a33a7b771059a64,permanent,data+scientist,"<span class=""date"">7 days ago</span>",Data Scientist,InfoSec People Limited,,London,,,"hive,r,java,sql,python","statistical,research,ai,machine","phd,mathematics,statistics",InfoSec People are seeking highly analytical Data Scientists to join a ground-breaking AI technology company based in Central London....
113,jl_71ef870ab59f7b54,permanent,data+scientist,"<span class=""date"">2 days ago</span>",Lead Data Scientist - R&D,Harnham,"£75,000 - £85,000 a year",London,6 reviews,4.8 out of 5,"python,r","analysis,machine",None,Lead Data Scientist - R&D. The successful Lead Data Scientist candidate will have proven commercial management experience....
